From,To
@ivorytowerstyle,@davidfickling
@ivorytowerstyle,@davidfickling
@orteli_99,@DDiManzella
@orteli_99,@DDiManzella
@joegooding,"@debnantz,@2AorGTFO"
@ShantelWireman1,"@debnantz,@LaLaRueFrench75"
@MacRaider,"@debnantz,@VeritasDolor"
@AnonymTipster,@debwebily11
@ShotAtLife,@defeatDD
@BethIsAwake,@DocFoster
@AutismOne,@DocFoster
@joegooding,@doctorsensation
@TrafficHubNow,@doctorsensation
@thesaddleguy1,"@DoriCFWC,@"
@ShotAtLife,"@DoriCFWC,@"
@kidoctr,@doritmi
@InfectiousPS,@doritmi
@BlackAutist,@doritmi
@NursesWhoVax,@doritmi
@yayayarndiva,@doritmi
@ShotAtLife,@doritmi
@lizditz,@doritmi
@lizditz,@doritmi
@LighthousePR_LA,@doritmi
@gorskon,"@doritmi,@DrPaulOffit,@medsâ€¦"
@arclight,"@doritmi,@DrPaulOffit,@medsâ€¦"
@surfthespectrum,@DotFranny
@ahealthyliving1,@DotFranny
@JenniferMarguli,@DotFranny
@docbeerio,@DrDeanCDC
@DrPanMD,"@DrFriedenCDC,@CDCEmergency"
@AnonymTipster,@DrKND
@AutismOne,@DrKND
@LBAngelBaseball,@DrKND
@CaroleWadeNpBch,@DrPanMD
@alienfirst,@DrPanMD
@janusnorman,@DrPanMD
@drninashapiro,@DrPanMD
@Ryan_Mac_Phd,@DrPanMD
@thezenbastard,@DrPanMD
@__KaitlinShaw,@DrPanMD
@__KaitlinShaw,@DrPanMD
@MeyerBjoern,@DrPanMD
@cmaphysicians,@DrPanMD
@jenmort2002,@DrPanMD
@PedsGeekMD,@DrPanMD
@Ryan_Mac_Phd,@DrPanMD
@max4metals,@DrPanMD
@CarlDog,@DrPanMD
@victoriakelley,@DrPanMD
@IDerTorosianHC,@DrPanMD
@AFHSBPAGE,@DrPanMD
@AngeliqueAshby,@DrPanMD
@TheSciBabe,@DrPanMD
@EdTrustWest,@DrPanMD
@healthaccess,@DrPanMD
@ConsumersUnion,"@DrPanMD,"
@CALmatters,"@DrPanMD,@bayareahomeless"
@LeahinLA,"@DrPanMD,@Forbes"
@ShannanVelayas,"@DrPanMD,@SEIU2015,@CFA_News"
@CaliEditor,"@DrPanMD,@VaccinateCal"
@BethIsAwake,"@DrPanMD,@VaccinateCal"
@kfbk,"@DrPanMD,@vaxxedthemovie,@avoiceforchoice"
